Watershed #,Watershed name,Area_km2,Pa_mm,Forest_type,Hydrological_regime,DeltaF_perc,DeltaQf_perc,Precip_data_type,Assessment_technique,Source of info,E0,Latitude,Longitude,Length of study (years),From,To,Location Details*,"Completed 1, Incomplete 0",Possible duplicate,Notes,Location Details,dataset,Dryness
96,Chicken Cr.  UT,0.06,1900,BF,RD,-100,24.5,OB,PWE,"Johnston ,1984",1814,39.478939,-111.991207,4,1975,1978,NA,1,0,NA,GM,original Zhang et al data,0.9547368421052631
97,Cibuco,39.8,1827,BF,RD,31.4,11.1,MD,HM,"Beck et al.,2013",1811,18.352,-66.336,30,1970,2000,NA,1,0,"catch D, USGS ID 038320. All catchments from the study from Beck et al. 2014 should probably be removed from the database as the paper clearly indicates that there is no evidence of a change in flow due to reforestation. The values that are cited in the database should all be set to ""not significant from 0"", so might be included as 0. Including them wiht values is misleading.",PL,original Zhang et al data,0.9912424740010947
98,CNBL05,0.553,500,CF,RD,-43.2,35.3,OB,PWE,"Webb, 2009",1371,-33.36949398,149.0024497,8,1999,2007,NA,1,0,NA,GM,original Zhang et al data,2.742
99,CNBL07,0.554,500,CF,RD,-40.3,82.7,OB,PWE,"Webb et al., 2007",1371,-33.372397,149.002836,6,2001,2007,NA,1,0,NA,GM,original Zhang et al data,2.742
100,Coachwood,0.375,1549,BF,RD,-61,33.1,OB,PWE,"Cornish,1993",1507,-32.21152816,151.7277882,7,1983,1988,NA,1,0,"This treatment was a plantation establishment after logging. So the increase in flow is related to the removal of trees (-60%) and refers to the first five years in the treatment. See also Cornish and Vertessy, 2001.",GM,original Zhang et al data,0.972885732730794
101,Coalburn,1.5,1266,CF,RD,90,-20.3,OB,PWE,"Robinson ,1993",692,55.59242,-3.890822,17,1983,2000,NA,1,0,"Original publication (Robinson, 1993) which is asymposium paper, is not available. The best summary of the reseearch is in Birkinshaw et al. (2014) http://dx.doi.org/10.1016/j.jhydrol.2014.07.050 which summaries 45 years of resaerch in the Coalburn catchment. It was a reforestation experiment, and there was a decrease in the streamflow over the longer time period. Changed to -20.3\%",NA,original Zhang et al data,0.5466034755134281
102,Cold Spring Brook,3.91,1030,BF,RD,35,-27.9,OB,PWE,"Bosch  and  Hewlett ,1982",974,42.17383014,-75.40926227,1,1934,1934,NA,1,0,"Approximate location using original report (Schneider & Ayer 1961) and google maps Original report is actually Schneider & Ayer (1961) https://pubs.er.usgs.gov/publication/wsp1602 location from https://waterdata.usgs.gov/. Length from Bosch and Hewlett 1962. Confirmed that this reforestation, but this means that it is a reduction in flow so negative Delta_Q_f",GM,original Zhang et al data,0.945631067961165
103,Corkwood,0.411,1758,BF,RD,-40,38.6,OB,PWE,"Cornish and Vertessy, 2001",1507,-32.21152816,151.7277882,3,1983,1985,NA,1,0,Should be -40% as treatment was logging with a regeneration burn. The time period includes regrowth. Not exactly a direct change in flow due to logging,GM,original Zhang et al data,0.8572241183162684
104,"Coshocton, Ohio, U.S.A.: 172. checked increase",0.18,970,BF,RD,70,-45,OB,PWE,"Harrold et al.,1962",1717,40.365833,81.804167,19,1938,1957,NA,1,0,"1938--1939, 70% reforested, mostly pine. Location as USGS 402157081481500 ARS WATERSHED 172 WEIR NR CHILI OH. Checked paper, should be a reduction in streamflow, not an increase.",PL,original Zhang et al data,1.770103092783505
105,Coweeta Basin,21.85,1795,BF,RD,-6,0,OB,PWE,"Brantley et al.,2015",1281,35.1,-83.716667,9,2003,2012,NA,1,0,Pre treatment 1937 - 2003 Post treatment 2004-2012,GM,original Zhang et al data,0.7136490250696379
106,"Coweeta, N.C,U.S.A,#1",0.16,1725,BF,RD,-100,20.3,OB,PWE,"Swank and Miner ,1968",1302,35.07777778,-83.43333333,11,1956,1967,NA,1,0,Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf,AL,original Zhang et al data,0.7547826086956522
107,"Coweeta, N.C,U.S.A,#10",0.86,1854,BF,RD,-30,2.3,OB,PWE,"Johnson and Kovner,1956",1306,35.059789,-83.430554,14,1942,1956,NA,1,0,". Treatment 1942--1956 30%, basal 25 mm average area cut by uncon- increase trolled logging
Aprox Location from USGS 350238083265904 MA-084 COWEETA RS CH-3 NR OTTO,NC",PL,original Zhang et al data,0.7044228694714132
108,"Coweeta, N.C,U.S.A,#13",0.16,1900,BF,RD,-100,40.7,OB,PWE,"Swift and Swan, 1981",1302,35.07777778,-83.43333333,23,1940,1963,NA,1,0,"Better reference is Swift and Swank (1981) Hydrological Sciences Bulletin, 26:3, 245-256, DOI: 10.1080/02626668109490884. This is the journal paper based on the cited conference paper. Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf",AL,original Zhang et al data,0.6852631578947368
109,"Coweeta, N.C,U.S.A,#17",0.14,1895,BF,RD,-100,53.4,OB,PWE,"Swank and Miner , 1968",1302,35.07777778,-83.43333333,11,1956,1967,NA,1,0,"There is no ""Swank and Miner, 1966"" in the references, assuming this is also ""Swank and Miner, 1968"" Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf",AL,original Zhang et al data,0.6870712401055409
110,"Coweeta, N.C,U.S.A,#19",0.28,2001,BF,RD,-22,5.8,OB,PWE,"Johnson and Kovner, 1956",1306,35.059789,-83.430554,1,1948,1949,NA,1,0,"1949, 22% basal area cut,under storey only
Source https://academic.oup.com/forestscience/article-abstract/2/2/82/4763724?redirectedFrom=PDF",GM,original Zhang et al data,0.6526736631684158
111,"Coweeta, N.C,U.S.A,#22",0.34,2068,BF,RD,-50,14.8,OB,PWE,"Hewlett and Hibbert,1961",1167,35.05,86.416667,12,1955,1967,NA,1,0,"From Bosch and Hawlett et al 1982: treatment 1955, 50% poisoned in
alternate 10-m strips, no removal, regrowth restricted. Aproximatex location from COWEETA EXP STATION, NC
MACON County, Coop ID: 312102",AL,original Zhang et al data,0.5643133462282398
112,"Coweeta, N.C,U.S.A,#28",1.44,2270,BF,RD,-65,14.4,OB,PWE,"Hewlett and Douglass, 1968; Douglass and Swank, 1976",1069,35.046389,83.465,2,1962,1964,NA,1,0,"From Bosch and Hawlett et al 1982: treatment 1962--1964, 51% clearcut, 22% thinned (65% basal area). Location of station 28 from Laserat et al 2012 doi: 10.2166/nh.2012.067
Need to find original article https://agris.fao.org/agris-search/search.do?recordID=US201300317359 to check the length of the study",USGS,original Zhang et al data,0.4709251101321586
113,"Coweeta, N.C,U.S.A,#3",0.09,1814,BF,RD,-100,20.9,OB,PWE,"Swank and Douglass, 1974",1302,35.07777778,-83.43333333,6,1949,1955,NA,1,0,"Found in Bosch and Hawlett 1982 as Johnson, E.A. and Kovner, J.L., 1956. https://doi.org/10.1093/forestscience/2.2.82. Treatment time period selected.  Swank and Douglas, 1974 does not mention watershed #3, only WS#1 and WS#17, i.e. similar to Swank and Miner. Unclear where the detail for WS#3 is. In fact, Miniat et al (2021) does not mention WS#3 as part of the paired watersheds. In addition, this website (https://coweeta.uga.edu/Watersheds.html) mention clear cut in 1940 grazing and replanting, but no actual experimental design. Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf.",AL,original Zhang et al data,0.7177508269018743
114,"Coweeta, N.C,U.S.A,#37",0.44,2244,BF,RD,-100,16.1,OB,PWE,"Swank and Helvey, 1970; Swift and Swank, 1980",1302,35.07777778,-83.43333333,20,1964,1984,NA,1,0,The years were based on Swank et al. 1988 and the overview of the LTER dataset Miniat et al. 2021:  https://doi.org/10.1002/hyp.14302 Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf,AL,original Zhang et al data,0.5802139037433155
115,"Coweeta, N.C,U.S.A,#40",0.2,1946,BF,RD,-27,0,OB,PWE,"Hewlett and Hibbert, 1961",1263,35.033333,-83.433333,1,1948,1949,NA,1,0,"Need to confrim time study is one year as catchment 115. treatment 1955, 27% basal area cut not significantly by selective logging
Johnson, E.A., Kovner, J.L., 1956. Effect on streamflow of cutting a forest understory. For. Sci. 2, 82â€“91.
Aprox Location from USGS 350238083265904 MA-084 COWEETA RS CH-3 NR OTTO, NC
Paper is Hewlett and Hibbert 1961 (https://www.tandfonline.com/doi/abs/10.1080/02626666109493224) as says in Hibbert 1967 https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.545.6751&rep=rep1&type=pdf. One yaer evidence: The remaining experiments (Watersheds 3, 10, 40, and 41) were not sufficiently accurate to provide estimates of increases on other than the annual basis. (EN)",PL,original Zhang et al data,0.6490236382322713
116,"Coweeta, N.C,U.S.A,#41",0.29,2029,BF,RD,-53,4.3,OB,PWE,"Hewlett and Hibbert, 1962",1306,35.059789,-83.430554,1,1948,1949,NA,1,0,"Need to confrim time study is one year as catchment 115. treatment 1955, 27% basal area cut not significantly by selective logging
Johnson, E.A., Kovner, J.L., 1956. Effect on streamflow of cutting a forest understory. For. Sci. 2, 82â€“91.
Aprox Location from USGS 350238083265904 MA-084 COWEETA RS CH-3 NR OTTO, NC
Paper is Hewlett and Hibbert 1961 (https://www.tandfonline.com/doi/abs/10.1080/02626666109493224) as says in Hibbert 1967 https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.545.6751&rep=rep1&type=pdf. One yaer evidence: The remaining experiments (Watersheds 3, 10, 40, and 41) were not sufficiently accurate to provide estimates of increases on other than the annual basis. (EN)",PL,original Zhang et al data,0.6436668309512075
117,"Coweeta, N.C,U.S.A,#6",0.09,1854,BF,RD,-80,32.1,OB,PWE,"Bosch  and  Hewlett,1982",1205,35.05,-83.583333,4,1970,1974,NA,1,0,Point Location from the original report Swift and Swank (1980),PL,original Zhang et al data,0.6499460625674218
118,"Coweeta, NC #7",0.59,1825,BF,RD,-100,22.8,OB,PWE,"Swank  et  al. , 1988",1302,35.07777778,-83.43333333,6,1977,1983,NA,1,0,The years were based on Swank et al. 1988 and the overview of the LTER dataset Miniat et al. 2021:  https://doi.org/10.1002/hyp.14302. Approximate location from this paper: Elliot and Swank (1994) Journal of Vegetation Science 5: 229-236 https://srs.fs.usda.gov/pubs/ja/ja_elliott022.pdf,AL,original Zhang et al data,0.7134246575342466
119,"Coyote Creek, U S.A,#1",0.69,1230,CF,SD,-50,9.6,OB,PWE,"Harr , 1976",1180,44.053948,-123.269766,5,1971,1976,NA,1,0,NA,GM,original Zhang et al data,0.959349593495935
120,"Coyote Creek, U S.A,#2",0.68,1230,CF,SD,-30,19,OB,PWE,"Harr, 1976",1736,37.448998,-121.630539,15,1958,1973,NA,1,0,"Source is not Miller et al 1988, it is Harr 1976. Specific time period not found in Harr 1976. As by the manuscript in Harr, same time period as AL-1 catchment was considered
",GM,original Zhang et al data,1.4113821138211382
121,"Coyote Creek, U S.A,#3",0.5,1230,CF,SD,-100,57.4,OB,PWE,"Harr, 1976",1736,37.448998,-121.630539,5,1971,1976,NA,1,0,"Source is not Miller et al 1988, it is Harr 1976. Time period not found in Harr 1976. 5 years assumed from  Bosch and Hawlett 1982, treatment: 1971, individual trees repwell: drained gravelly loam, resenting 50% of basal
150 cm deep area removed ; -+2%roads",GM,original Zhang et al data,1.4113821138211382
122,Crotty Creek,1.221,1580,BF,RD,-50,36,OB,PWE,"Hawthorne et al.,2013",1259,-37.575575,145.630275,38,1970,2008,NA,1,0,NA,GM,original Zhang et al data,0.7968354430379747
123,Culebrinas,177.1,2178,BF,RD,29.5,9.5,MD,HM,"Beck et al.,2013",1848,18.36,-67.089,32,1968,2000,NA,1,0,"catch L, USGS ID 147800",PL,original Zhang et al data,0.8484848484848485
124,D3,0.25,2100,CF,RD,-50,16,OB,PWE,"Amatya and Skaggs, 2008",790,34.8,76.7,5,2002,2007,NA,1,0,"original value of 250% is incorrect estimateof change. The paper says on page 7 about the outflow change: Both of these outflow ratios (0.64 and 0.50) were higher than the calculated expected values of 0.55 for 2003 and 0.44 for 2005, respectively. So value should be 0.64/0.55*100 - 100 or 0.5/044*100 - 100: 16% or 13%",PL,original Zhang et al data,0.3761904761904762
125,Dakeng,10,1530,CF,RD,-19,-22,OB,SH,"Sun et al.,2008",1320,29.06666667,114.5666667,36,1957,1993,NA,1,0,NA,AL,original Zhang et al data,0.8627450980392157
126,Deadhorse  Cr.  CO,2.7,762,CF,SD,-36,12,OB,PWE,"Troendle  and  King, 1987",1165,39.84568491,-105.9236381,6,1978,1984,NA,1,0,NA,GM,original Zhang et al data,1.5288713910761156
127,"Deer  Creek,  OR",3.03,2480,MF,SD,-25,7.9,OB,PWE,"Harris (1973, 1977)",1747,36.760031,-97.425853,7,1967,1973,NA,1,0,"Incorrect souce, it is not Miller et al 1988, it is  Harris (1973, 1977)",GM,original Zhang et al data,0.7044354838709678
128,Dehra Dun,0.015,1430,BF,RD,100,-27.8,OB,PWE,"Bruijnzeel,1990",1696,30.326437,78.032698,7,1961,1968,NA,1,0,"Name is Dehradun, India. Time period from Mathur 1978 http://indianforester.in/index.php/indianforester/article/view/11473",GM,original Zhang et al data,1.186013986013986
129,Dickey Brook Basin (DBB),3.08,1248,BF,RD,-24,14.4,OB,PWE,"Bent, 2001",1066,42.2833,-72.35,11,1962,1973,NA,1,0,location data from NOAA Belchertown (station 190562),AL,original Zhang et al data,0.8541666666666666
130,EscalÃ³,438,1123,MF,RD,5.6,-6.3,SG,EA,"Buendia et al.,2016a",1232,-34.291,115.248,44,1965,2009,NA,1,0,Aproximate location as  gauge station http://www.saihebro.com/saihebro/index.php?url=/datos/ficha/estacion:A252,PL,original Zhang et al data,1.0970614425645593
131,Dons,2.7,720,BF,RD,-38,13,OB,PWE,"Bent, 2001",1680,42.548178,1.158235,24,1962,1973,NA,1,0,"Dons catchment name was not found in Bent 2001, it is Cadwell Creek
study area",AL,original Zhang et al data,2.3333333333333335
132,Fajardo,39.3,2875,BF,RD,19.6,-6,MD,HM,"Beck et al.,2013",1825,18.296,-65.692,38,1962,2000,NA,1,0,"catch  H ,data for 1989 were excluded, USGS ID 071000",PL,original Zhang et al data,0.6347826086956522
133,"Femow,  WV #1",0.3,1520,BF,RD,-85,22.4,OB,PWE,"Reinhart  et  al. , 1963; Kochenderfer  et al.,1983 and 1990",1241,-37.503878,146.106764,9,1951,1960,NA,1,0,NA,GM,original Zhang et al data,0.8164473684210526
135,"Femow,  WV #3-1",0.34,1500,BF,RD,-13,1.3,OB,PWE,"Reinhart  et  al., 1963",1241,39.054246,-79.670001,9,1951,1960,NA,1,0,NA,GM,original Zhang et al data,0.8273333333333334
136,"Femow,  WV #3-2",0.34,1500,BF,RD,-8,0,OB,PWE,"Reinhart  et  al., 1963",1089,-37.503878,146.106764,9,1951,1960,NA,1,0,NA,GM,original Zhang et al data,0.726
138,"Femow,  WV #3-4",0.34,1500,BF,RD,-6,0,OB,PWE,"Reinhart  et  al., 1963",1241,-37.503878,146.106764,9,1951,1960,NA,1,0,NA,GM,original Zhang et al data,0.8273333333333334
139,"Fernow Experimental Forest,  WV #4",0.39,1500,BF,RD,0,0,OB,PWE,"Patric  and  Reinhart ,1971",1091,39.063033,-79.668157,5,1964,1969,NA,1,0,"Misspelled name, Fernow Experimental Forest, Parsons, West Virginia",GM,original Zhang et al data,0.7273333333333334
140,"Femow,  WV #5-1",0.36,1470,BF,RD,-14,0,OB,PWE,"Reinhart  et  al., 1963",1241,39.054246,-79.670001,9,1951,1960,NA,1,0,NA,GM,original Zhang et al data,0.8442176870748299
141,"Femow,  WV #5-2",0.36,1470,BF,RD,-20,4.7,OB,PWE,"Reinhart  et  al., 1963",1241,-37.503878,146.106764,9,1951,1960,NA,1,0,NA,GM,original Zhang et al data,0.8442176870748299
142,"Fernow Experimental Forest,  WV #6",0.22,1440,BF,RD,-50,54.9,OB,PWE,"Kochenderfer  et al.,1983",1089,39.063033,-79.668157,10,1970,1979,NA,1,0,"There is not watershed 6, unless this is upper and lower basin numbered after 7 and 6",GM,original Zhang et al data,0.75625
143,"Fernow Experimental Forest,  WV #7",0.24,1470,BF,RD,-50,19.6,OB,PWE,"Kochenderfer  et al.,1983",1089,39.054246,-79.670001,10,1970,1979,NA,1,0,NA,GM,original Zhang et al data,0.7408163265306122
144,"Fernow Experimental Forest, USA,#1",0.3,1524,MF,RD,-85,22.3,OB,PWE,"Patric,1980",1089,39.054246,-79.670001,8,1969,1977,NA,1,0,"Misspelled name, Fernow Experimental Forest, Parsons, West Virginia",AL,original Zhang et al data,0.7145669291338582
147,"Fernow Experimental Forest, USA,#5",0.36,1473,MF,RD,-20,4.7,OB,PWE,"Patric, J.H., Reinhart, K.G., 1973",1089,39.054246,-79.670001,1,1957,1958,NA,1,0,"It should be Patric, J.H., Reinhart, K.G., 1971. Time period from Bosch and Hawlett 1982",GM,original Zhang et al data,0.7393075356415478
148,"Fernow Experimental Forest, USA,#6",0.22,1440,MF,RD,-50,28.8,OB,PWE,"Patric, J.H., Reinhart, K.G., 1974",1089,39.054246,-79.670001,5,1964,1969,NA,1,0,"It should be Patric, J.H., Reinhart, K.G., 1974",GM,original Zhang et al data,0.75625
149,"Fernow Experimental Forest USA,#7",0.24,1469,MF,RD,-50,19.7,OB,PWE,"Patric, J.H., Reinhart, K.G., 1975",1091,39.054246,-79.670001,5,1964,1969,NA,1,0,"It should be Patric, J.H., Reinhart, K.G., 1975",GM,original Zhang et al data,0.7426820966643976
150,Flamisell,345,1050,MF,RD,15,-23.8,SG,EA,"Buendia et al.,2016a",1437,42.254703,0.97586,44,1965,2009,NA,1,0,Aproximate location as gauge station http://www.saihebro.com/saihebro/index.php?url=/datos/ficha/estacion:E058,PL,original Zhang et al data,1.3685714285714285
154,"Fox Creek, Oreg, USA, FC1",0.59,2730,CF,SD,-25,0,OB,PWE,"Harr,1976",1190,44.294973,-122.636921,20,1953,1973,NA,1,0,Same time period as other catchments as assumed from the paper. 1969-1970 25% clearcut,GM,original Zhang et al data,0.4358974358974359
155,"Fox Creek, Oreg, USA, FC3",0.71,2730,CF,SD,-25,0,OB,PWE,"Harr,1980",1190,44.294973,-122.636921,15,1960,1975,NA,1,0,Aproximate location in GE. 1970-1972 25% clearcut,GM,original Zhang et al data,0.4358974358974359
161,Grande de LoÄ±za,233,1963,BF,RD,28.7,-1.1,MD,HM,"Beck et al.,2013",1882,18.242,-66.01,40,1960,2000,NA,1,0,"catch  E, data prior to 1961 were excluded, USGS ID 055000",PL,original Zhang et al data,0.9587366276107998
162,Grande de Manati,345.9,2004,BF,RD,20.9,-36.8,MD,HM,"Beck et al.,2013",1795,18.323,-66.459,43,1957,2000,NA,1,0,"catch  C, USGS ID 035000",PL,original Zhang et al data,0.8957085828343313
163,Grande de Patillas,46.3,1720,BF,RD,22.8,-15.7,MD,HM,"Beck et al.,2013",1777,18.035,-66.034,34,1966,2000,NA,1,0,"catch  I, USGS ID 092000",PL,original Zhang et al data,1.033139534883721
164,"Grant Forest, Ga, USA, WS14",0.33,1219,BF,SD,-100,54.4,OB,PWE,"Hewlett,1979",1549,33.376192,-83.472635,1,1974,1975,NA,1,0,"Catchment of study is W14 not W18. From Bosch and Hewlett et al 1982: treatment 1974/1975 100% clearcut, roller chopped twice, and pine planted by machine
Original source in this book. https://www.vgls.vic.gov.au/client/en_AU/VGLS-public/search/detailnonmodal?qu=Water+harvesting.&d=ent%3A%2F%2FSD_ILS%2F0%2FSD_ILS%3A25738%7EILS%7E0&ps=300",GM,original Zhang et al data,1.2707136997538966
166,Hafren,3.67,2500,CF,RD,-26,3,OB,PWE,"Robinson and Dupeyrat, 2005",599,52.467613,-3.725406,17,1983,2000,NA,1,0,approximate location from  https://www.ceh.ac.uk/our-science/projects/plynlimon-experimental-catchments,GM,original Zhang et al data,0.2396
167,Hansen,0.8,1200,BF,RD,-75,71.6,OB,PWE,"Ruprecht et al.,1991",1920,-33.117401,115.922311,3,1986,1988,NA,1,0,NA,AL,original Zhang et al data,1.6
168,HF1,0.12,1220,BF,RD,-92,240,OB,PWE,"Boggs et al.,2015",1393,36.199169,-78.892208,7,2007,2013,NA,1,0,coordinates addedfrom GM. They are not in tha paper and could not find them anywhere,GM,original Zhang et al data,1.1418032786885246
169,HF2,0.12,1220,BF,RD,0,0,OB,PWE,"Boggs et al.,2015",1393,36.199169,-78.892208,7,2007,2013,NA,1,0,NA,GM,original Zhang et al data,1.1418032786885246
170,HFW1,0.29,1220,BF,RD,-33,40,OB,PWE,"Boggs et al.,2015",1398,36.177915,-78.808557,7,2007,2013,NA,1,0,coordinates addedfrom GM as Umstead Research Station,GM,original Zhang et al data,1.1459016393442623
171,HFW2,0.4,1220,BF,RD,0,0,OB,PWE,"Boggs et al.,2015",1397,36.199169,-78.808557,7,2007,2013,NA,1,0,NA,GM,original Zhang et al data,1.1450819672131147
172,"HJ Andrew,  OR  #1",0.96,2388,CF,SD,-100,33.6,OB,PWE,"Harr, 1976,1979",1217,44.231367,-122.176668,20,1953,1973,NA,1,0,NA,GM,original Zhang et al data,0.5096314907872697
173,"HJ Andrew,  OR #10",0.09,2320,CF,SD,-100,24.2,OB,PWE,"Harr, 1983",1217,44.232296,-122.176204,NA,1963,1967,NA,1,0,"not in Harr 1976, only HJA- 1 and HJA- 3, In Harr 1983. Time studty from Rothacher 1970",GM,original Zhang et al data,0.5245689655172414
174,"HJ Andrew,  OR #3",1.01,2388,CF,SD,-30,22.1,OB,PWE,"Harr, 1976,1979",1217,44.231367,-122.176668,20,1953,1973,NA,1,0,NA,GM,original Zhang et al data,0.5096314907872697
175,"HJ Andrew,  OR #6",0.13,2150,CF,SD,-100,32.9,OB,PWE,"Harr, 1983",1217,44.232296,-122.176204,4,1963,1967,NA,1,0,"not in Harr 1976, only HJA- 1 and HJA- 3, In Harr 1983. Time studty from Rothacher 1970",GM,original Zhang et al data,0.566046511627907
176,"HJ Andrew,  OR #7",0.21,2150,CF,SD,-60,18.6,OB,PWE,"Harr, 1983",1217,44.232296,-122.176204,4,1963,1967,NA,1,0,"not in Harr 1976, only HJA- 1 and HJA- 3, In Harr 1983. Time studty from Rothacher 1970",GM,original Zhang et al data,0.566046511627907
177,Hore,3.08,2500,CF,RD,-29,11.5,OB,PWE,"Robinson and Dupeyrat, 2005",599,52.467613,-3.725406,17,1983,2000,NA,1,0,approximate location from  https://www.ceh.ac.uk/our-science/projects/plynlimon-experimental-catchments,GM,original Zhang et al data,0.2396
178,Houzhai karst basin,80.65,1314.6,BF,RD,18.9,0,OB,SH,"Yan et al.,2014",1134,26.14,105.7,16,1990,2006,NA,1,0,NA,AL,original Zhang et al data,0.8626198083067094
